evidence_id,source_id,变量,原始值,单位,场景,页码或表号,证据类型,directness,适用限制,项目转换规则
E041,S13,端侧算力,"0.5/0.8/1.0",GHz,多用户卸载实验,Numerical results,论文实验设置,D,移动设备实验配置,用于端侧算力候选而非行业标准
E042,S13,云侧分配算力,10,GHz,多用户卸载实验,Numerical results,论文实验设置,D,实验配置,用于端云算力差异样本
E043,S14,卸载任务模型,"输入bit、deadline、cycles/bit",tuple,移动边缘计算,computation offloading model,论文实验设置,D,建模惯例不是数值标准,定义数据量/实时性/计算强度三个独立原始量
E044,S16,资产监测图像消息,4,MB,资产监测,Requirements p.4,白皮书用例值,D,特定图像监测任务,形成图像帧0.1-4MB上界
E045,S16,实时视频,"10 Mbit/s、4 MByte payload",mixed,远程操作,Requirements p.7,白皮书用例值,D,码率与payload是不同指标,分别存bitrate_mbps和message/frame_bytes
E046,S16,碰撞预测时延,小于33,ms,碰撞预警,Requirements p.13,白皮书用例值,D,特定碰撞预测流,用于AGV强实时样本
E047,S16,碰撞预测消息,小于100,byte,碰撞预警,Requirements p.13,白皮书用例值,D,跟踪与告警消息,纳入小控制报文
E048,S16,AGV数量,5-100,AGV,AGV导航/移动机器人,Requirements p.14,白皮书用例值,D,白皮书用例范围,用于低/中/高AGV规模
E049,S16,导航控制时延,7,ms,自主导航,Requirements p.16,白皮书用例值,D,控制数据链路,用于超硬实时AGV任务
E050,S16,导航控制消息,50,byte,自主导航,Requirements p.17,白皮书用例值,D,控制数据,纳入控制报文下部
E051,S16,融合3D/RGB数据,"1.6-2 MB、300-500 Mbit/s",mixed,自主导航,Requirements p.16,白皮书用例值,D,特定融合感知容器,用于点云/融合感知超大数据档
E052,S16,原始相机带宽,大于2.5,Gbit/s,机器视觉,p.24-25,白皮书用例值,D,原始或低预处理相机头,仅用于机器视觉极端带宽hard case
E053,S17,工业终端数量,60-140,terminal,工业多服务器卸载,Table 4,论文实验设置,D,合成工业互联网实验,纳入高并发卸载候选
E054,S17,边缘服务器数量,3-9,server,工业多服务器卸载,Table 4,论文实验设置,D,论文仿真设置,用于边缘node_count
E055,S17,端侧CPU频率,3,GHz,工业多服务器卸载,Table 4,论文实验设置,D,仿真设置,不得称为通用端侧能力
E056,S17,边缘CPU频率,10,GHz,工业多服务器卸载,Table 4,论文实验设置,D,仿真设置,不得称为通用边缘能力
E057,S17,边缘存储,1024,MB,工业多服务器卸载,Table 4,论文实验设置,D,论文仿真设置,用于资源受限边缘候选
E058,S17,无线带宽,20,MHz,工业多服务器卸载,Table 4,论文实验设置,D,无线系统带宽而非应用吞吐,不得直接填入uplink_mbps
E059,S17,无线速率实验范围,6-15,M/s,工业多服务器卸载,Figure 9 discussion,论文实验设置,D,原文单位按论文记录,单位换算前需复核全文
E060,S18,任务数量,10-100,task,智能生产线,Section 5.2,论文实验设置,D,生产线云雾任务调度实验,支持低/中任务规模
E061,S18,雾节点数量,"5/10/20",node,智能生产线,Section 5.2,论文实验设置,D,仿真设置,用于边缘node_count候选
E062,S18,雾间传输速率,3,M/s,智能生产线,Section 5.1,论文实验设置,D,仿真链路,作为相对低速网络样本
E063,S18,云雾传输速率,10,M/s,智能生产线,Section 5.1,论文实验设置,D,仿真链路,作为云雾链路候选
E064,S18,QoS目标,"最大完成时间、能耗、任务完成率",qualitative,智能生产线,Sections 5.2.1-5.2.3,论文实验设置,D,论文评价目标,映射到QoS目标列表
E065,S19,AGV数量,"2/4/6/8/10",AGV,多AGV卸载,Section 5 experiments,论文实验设置,D,论文仿真设置,支持低规模AGV
E066,S19,单AGV任务量,"200/300/500",kB,多AGV卸载,Section 5 / Table 2,论文实验设置,D,论文中称任务量/携带任务,保留为input_bytes候选并复核语义
E067,S19,边缘计算上限,"50/60/70/80/90",kB/min,多AGV卸载,Section 5 / Table 2,论文实验设置,D,论文自定义处理能力单位,不可换成GHz
E068,S19,边缘服务器数量,4-7,server per route,多AGV卸载,Section 5 experiments,论文实验设置,D,每条AGV路径经过的服务器数,用于移动卸载可达边缘节点数
E069,S20,设备数量,60-120,device,MEC卸载,Table 1,论文实验设置,D,特定拥塞感知卸载实验,支持高并发卸载候选
E070,S20,输入数据量,800-6000,kB,MEC卸载,Table 1,论文实验设置,D,实验范围,纳入中/大任务输入量候选
E071,S20,本地工作负载,150-1000,Megacycles,MEC卸载,Table 1,论文实验设置,D,实验范围,结合deadline计算local_time_deadline_ratio
E072,S01,实时性分档,"0.5-10/10-50/50-500/500-5000/>5000",ms,跨工业场景,由S01/S02/S03/S16归纳,项目推导,I,不是单一标准表的原始分档,所有样本保存原始deadline并由脚本派生标签
E073,S16,数据形态分档,"40-500B控制、0.5-32KB遥测、0.1-4MB图像、3-500Mbps视频/融合感知",mixed,跨工业场景,由S01/S02/S16归纳,项目推导,I,不同形态单位不可混用,分别保存message/frame/bitrate字段
E074,S13,计算强度分档,"T_local/deadline ≤0.25/0.75/1.5",ratio,跨计算任务,由S13/S14/S20归纳,项目推导,I,相对指标需本地运行估计,优先使用比值而非绝对cycles
E075,S17,资源负载分档,"<50/50-75/75-90/>90",percent,端边云节点,项目指南与论文负载讨论,项目推导,I,75%来自项目指南其余为采样政策,标签同时用queue_wait/deadline校正
E076,S03,网络状态分档,"net_time/deadline与available/required bandwidth的比值",ratio,端边云网络,由S01/S03/S16/S17归纳,项目推导,I,绝对RTT不能跨deadline直接比较,按两个比值联合派生优/良/退化/不可行
E077,S06,隐私分档,"低/中/高/受限",level,工业数据,由S03/S06/S07归纳,项目推导,I,具体工业数据到等级的映射不是标准原文,保留data_category和data_residency并采用就高原则
E078,S17,边缘分配算力采样范围,8-80,Gcycles/s,工业边缘任务执行,由S17 Table 4的10GHz边缘CPU并结合S18/S19多节点实验扩展,项目推导,I,表示单任务可获得的逻辑计算能力而非行业统一硬件规格,与workload_mcycles共同计算edge_compute_ms
E079,S13,云端分配算力采样范围,100-1000,Gcycles/s,云端并行任务执行,由S13云侧分配算力并结合多核并行资源作项目扩展,项目推导,I,表示多核或并行资源的聚合逻辑能力且不得称为单核频率,与workload_mcycles共同计算cloud_compute_ms
E080,S14,边缘和云端预计完成时间,"传输序列化+网络排队+RTT+节点排队+计算时间",ms,端边云卸载决策,通信计算权衡模型并结合S13/S17实验变量,项目推导,I,用于规则标签阶段的近似可行性判断而非真实系统测量,公式和各分量保存在estimated_completion_time_sampling_v1.md及追溯CSV
