source_id,title,authors_or_org,year,source_type,access_level,landing_url,download_url,local_file,doi,primary_role,access_date
S11,Test Instances for the Flexible Job Shop Scheduling Problem with Work Centers,Behnke; Geiger,2012,研究报告,开放全文,https://d-nb.info/1023241773,https://d-nb.info/1023241773/34,source_pdfs/S11_FJSP_Work_Centers.pdf,,FJSP工作中心实例：10-100 jobs、5-15 work centers、每job 5 operations,2026-07-23
S12,Large-Scale Benchmarks for the Job Shop Scheduling Problem,Da Col; Teppan,2021,论文/研究报告,开放全文,https://arxiv.org/abs/2102.08778,https://arxiv.org/pdf/2102.08778,source_pdfs/S12_Large_Scale_JSSP.pdf,,大型JSSP至1000×1000和极端压力测试边界,2026-07-23
S13,Efficient Multi-User Computation Offloading for Mobile-Edge Cloud Computing,Chen et al.,2016,期刊论文,开放预印本,https://arxiv.org/abs/1510.00888,https://arxiv.org/pdf/1510.00888,source_pdfs/S13_Multi_User_Offloading.pdf,10.1109/TNET.2015.2487344,卸载任务三元组、输入数据、工作负载与端云算力实验值,2026-07-23
S14,A Survey on Mobile Edge Computing: The Communication Perspective,Mao et al.,2017,权威综述,开放预印本,https://arxiv.org/abs/1701.01090,https://arxiv.org/pdf/1701.01090,source_pdfs/S14_MEC_Communication_Survey.pdf,10.1109/COMST.2017.2745201,任务输入量、deadline、cycles/bit与通信计算权衡,2026-07-23
S15,EdgeCloudSim: An Environment for Performance Evaluation of Edge Computing Systems,Sonmez et al.,2018,仿真框架论文,开放网页,https://onlinelibrary.wiley.com/doi/full/10.1002/ett.3493,,,10.1002/ett.3493,端边云仿真变量与移动、负载、网络建模；附件受站点访问策略限制,2026-07-23
S16,Architecture and Technology for Machine Vision in Industrial Applications with 5G,5G-ACIA/ZVEI,2025,官方白皮书,开放全文,https://5g-acia.org/whitepapers/architecture-and-technology-for-machine-vision-in-industrial-applications-with-5g/,https://5g-acia.org/download/24343/?version=a4,source_pdfs/S16_5G_ACIA_Machine_Vision.pdf,,机器视觉、AGV导航、图像帧、视频码率与控制消息,2026-07-23
S17,Task offloading for multi-server edge computing in industrial Internet with joint load balance and fuzzy security,Jin et al.,2024,期刊论文,开放全文,https://www.nature.com/articles/s41598-024-79464-2,https://www.nature.com/articles/s41598-024-79464-2.pdf,source_pdfs/S17_Industrial_Multi_Server_Offloading.pdf,10.1038/s41598-024-79464-2,工业终端数、边缘节点数、端边算力、带宽和安全/负载模型,2026-07-23
S18,A Multi-Objective Task Scheduling Strategy for Intelligent Production Line Based on Cloud-Fog Computing,Yin et al.,2022,期刊论文,开放全文,https://www.mdpi.com/1424-8220/22/4/1555,https://mdpi-res.com/d_attachment/sensors/sensors-22-01555/article_deploy/sensors-22-01555-v2.pdf?version=1645417755,source_pdfs/S18_Production_Line_Cloud_Fog_Scheduling.pdf,10.3390/s22041555,生产线任务数、雾节点数、链路速率、时延与能耗目标,2026-07-23
S19,Reinforcement learning empowered multi-AGV offloading scheduling in edge-cloud IIoT,Liu et al.,2022,期刊论文,开放全文,https://link.springer.com/article/10.1186/s13677-022-00352-z,https://link.springer.com/content/pdf/10.1186/s13677-022-00352-z.pdf,source_pdfs/S19_Multi_AGV_Offloading.pdf,10.1186/s13677-022-00352-z,多AGV、任务量、边缘服务器数量与资源竞争实验值,2026-07-23
S20,Congestion-aware adaptive decentralised computation offloading and caching for multi-access edge computing networks,Tefera et al.,2020,期刊论文,开放网页（附件受站点策略限制）,https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/iet-com.2020.0630,,,10.1049/iet-com.2020.0630,60-120设备、800-6000kB输入和150-1000Mcycles实验范围；网页可核验但本站未收录PDF,2026-07-23
